date,location,positive,negative,neutral,total,perception
2019-11-02,Arizona,1,3,6,10,0.4
2019-11-02,Texas,3,10,5,18,0.3055555555555556
2019-11-02,Colorado,5,1,9,15,0.6333333333333333
2019-11-02,Indiana,3,8,6,17,0.35294117647058826
2019-11-02,Maine,1,0,1,2,0.75
2019-11-02,Illinois,6,1,3,10,0.75
2019-11-02,Georgia,4,5,2,11,0.4545454545454546
2019-11-02,Michigan,2,0,1,3,0.8333333333333333
2019-11-02,Nebraska,1,2,1,4,0.375
2019-11-02,Pennsylvania,1,2,1,4,0.375
2019-11-02,Missouri,3,2,3,8,0.5625
2019-11-02,Kansas,0,0,1,1,0.5
